Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Version Added
? Block,NA,NA,NA,NA,No,No,No,NA,NA,1350,337,Yellow,White,1x1,No,NA,NA,Nook Shopping Promotion,NA,NA,201,fancy,child's room,Mario,None,None,No,Mario,Yes,Does not play music,No lighting,Not in catalog,1.8.0
2021 celebratory arch,NA,NA,NA,NA,No,No,No,NA,NA,2021,505,Yellow,Gray,3x1,No,NA,NA,Nook Shopping Seasonal,New Year's Day (2021),Yes,201,party,None,None,None,None,No,Arch,Yes,Does not play music,No lighting,Seasonal,1.6.0
2022 celebratory arch,NA,NA,NA,NA,No,No,No,NA,NA,2022,505,Aqua,Gray,3x1,No,NA,NA,Nook Shopping Seasonal,New Year's Day (2022),Yes,201,party,None,None,None,None,No,Arch,Yes,Does not play music,No lighting,Seasonal,2.0.0
ABD,Silver,Color,NA,NA,No,No,No,NA,8000,NFS,49500,Gray,Gray,1x1,No,9900,Nook Miles,Nook Miles Redemption,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0
ABD,Blue,Color,NA,NA,No,No,No,NA,8000,NFS,49500,Blue,Aqua,1x1,No,9900,Nook Miles,Nook Miles Redemption,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0
ABD,Yellow,Color,NA,NA,No,No,No,NA,8000,NFS,49500,Yellow,Gray,1x1,No,9900,Nook Miles,Nook Miles Redemption,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0
ABD,Red,Color,NA,NA,No,No,No,NA,8000,NFS,49500,Red,White,1x1,No,9900,Nook Miles,Nook Miles Redemption,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0
ABD,Green,Color,NA,NA,No,No,No,NA,8000,NFS,49500,Green,Green,1x1,No,9900,Nook Miles,Nook Miles Redemption,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0
acoustic guitar,Natural,Color,NA,NA,Yes,Yes,No,NA,3800,NFS,3210,Beige,Brown,1x1,No,NA,NA,Crafting,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0
acoustic guitar,Cherry,Color,NA,NA,Yes,Yes,No,NA,3800,NFS,3210,Red,Black,1x1,No,NA,NA,Crafting,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0
acoustic guitar,Brown,Color,NA,NA,Yes,Yes,No,NA,3800,NFS,3210,Brown,Black,1x1,No,NA,NA,Crafting,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0
acoustic guitar,Blue,Color,NA,NA,Yes,Yes,No,NA,3800,NFS,3210,Blue,Black,1x1,No,NA,NA,Crafting,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0
acoustic guitar,White,Color,NA,NA,Yes,Yes,No,NA,3800,NFS,3210,White,Black,1x1,No,NA,NA,Crafting,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0
acoustic guitar,Black,Color,NA,NA,Yes,Yes,No,NA,3800,NFS,3210,Black,Black,1x1,No,NA,NA,Crafting,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0
acoustic guitar,Pink,Color,NA,NA,Yes,Yes,No,NA,3800,NFS,3210,Pink,White,1x1,No,NA,NA,Crafting,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0
alto saxophone,NA,NA,NA,NA,No,No,No,NA,NA,3400,850,Yellow,Yellow,1x1,No,3100,Poki,Nook's Cranny,NA,NA,151,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0
amazing machine,Silver,Color,NA,NA,No,No,No,NA,5200,140000,35000,Gray,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0
amazing machine,White,Color,NA,NA,No,No,No,NA,5200,140000,35000,White,Gray,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0
amazing machine,Black,Color,NA,NA,No,No,No,NA,5200,140000,35000,Black,Gray,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0
amazing machine,Green,Color,NA,NA,No,No,No,NA,5200,140000,35000,Green,Gray,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0
amazing machine,Blue,Color,NA,NA,No,No,No,NA,5200,140000,35000,Blue,Brown,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0
amazing machine,Red,Color,NA,NA,No,No,No,NA,5200,140000,35000,Red,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0
amazing machine,Yellow,Color,NA,NA,No,No,No,NA,5200,140000,35000,Yellow,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0
amazing machine,Damaged,Color,NA,NA,No,No,No,NA,5200,140000,35000,Gray,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0
amp,Black,Color,NA,NA,No,No,No,NA,1700,5100,1275,Black,Brown,1x1,No,4600,Poki,Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0
amp,White,Color,NA,NA,No,No,No,NA,1700,5100,1275,White,Gray,1x1,No,4600,Poki,Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0
amp,Orange,Color,NA,NA,No,No,No,NA,1700,5100,1275,Orange,Black,1x1,No,4600,Poki,Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0
amp,Brown,Color,NA,NA,No,No,No,NA,1700,5100,1275,Brown,Beige,1x1,No,4600,Poki,Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0
amp,Blue,Color,NA,NA,No,No,No,NA,1700,5100,1275,Blue,Black,1x1,No,4600,Poki,Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0
amp,Red,Color,NA,NA,No,No,No,NA,1700,5100,1275,Red,Black,1x1,No,4600,Poki,Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0
amp,Pink,Color,NA,NA,No,No,No,NA,1700,5100,1275,Pink,Gray,1x1,No,4600,Poki,Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0
anatomical model,NA,NA,NA,NA,No,No,No,NA,NA,3500,875,Colorful,Beige,1x1,No,3200,Poki,Nook's Cranny,NA,NA,151,school,lab,None,None,None,No,Hospital,No,Does not play music,No lighting,For sale,1.0.0
anchor statue,Black,Color,NA,NA,No,Yes,No,NA,1700,NFS,1400,Black,Beige,1x1,No,NA,NA,C.J.,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0
