Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Tag,Version Added,Unique Entry ID
1-Up Mushroom,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,2000,500,Green,White,1x1,No,NA,NA,Nook Shopping Promotion,NA,NA,201,fancy,child's room,Mario,None,None,Mario,1.8.0,FjDhwLaDCxmTvcJmR
accessories stand,White,Color,NA,NA,No,No,No,NA,NA,None,1000,1500,375,White,Colorful,1x1,No,1400,Poki,Nook's Cranny,NA,NA,103,stylish,apparel shop,None,None,SmallGoods,Shop,1.0.0,GWNqLnfaoEkGSFFkF
accessories stand,Pink,Color,NA,NA,No,No,No,NA,NA,None,1000,1500,375,Pink,Colorful,1x1,No,1400,Poki,Nook's Cranny,NA,NA,103,stylish,apparel shop,None,None,SmallGoods,Shop,1.0.0,Sg24qRStpGERdwjyn
accessories stand,Black,Color,NA,NA,No,No,No,NA,NA,None,1000,1500,375,Black,Colorful,1x1,No,1400,Poki,Nook's Cranny,NA,NA,103,stylish,apparel shop,None,None,SmallGoods,Shop,1.0.0,e5hQbi4JvpYYtRSM7
accessories stand,Brown,Color,NA,NA,No,No,No,NA,NA,None,1000,1500,375,Brown,Colorful,1x1,No,1400,Poki,Nook's Cranny,NA,NA,103,stylish,apparel shop,None,None,SmallGoods,Shop,1.0.0,BXBsfGQsnNfJqkQjm
accessories stand,Light blue,Color,NA,NA,No,No,No,NA,NA,None,1000,1500,375,Aqua,Colorful,1x1,No,1400,Poki,Nook's Cranny,NA,NA,103,stylish,apparel shop,None,None,SmallGoods,Shop,1.0.0,jfpXGQCTjbg65PCD9
ACNH Nintendo Switch,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,35960,8990,Green,Aqua,1x1,No,32400,Poki,Nintendo; Nook Shopping Daily Selection,NA,NA,51,child's room,living room,None,None,Appliance,Game Console,1.1.0,4AgPRnxhoQ922pQ4M
afternoon-tea set,Silver,Stand color,NA,NA,No,No,No,NA,NA,None,1000,2600,650,Colorful,White,1x1,No,2300,Poki,Nook's Cranny; HHP Office,NA,NA,103,café,fancy,None,None,Food,Dining,2.0.0,HEqYNM29e4wDpBahx
afternoon-tea set,Gold,Stand color,NA,NA,No,No,No,NA,NA,None,1000,2600,650,Colorful,Blue,1x1,No,2300,Poki,Nook's Cranny; HHP Office,NA,NA,103,café,fancy,None,None,Food,Dining,2.0.0,CLL3BYtziSrXkf9Lg
afternoon-tea set,White,Stand color,NA,NA,No,No,No,NA,NA,None,1000,2600,650,Colorful,White,1x1,No,2300,Poki,Nook's Cranny; HHP Office,NA,NA,103,café,fancy,None,None,Food,Dining,2.0.0,MbpszWotPgENgtkhN
agrias butterfly model,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,NFS,9000,Pink,Purple,1x1,No,NA,NA,Flick,NA,NA,251,None,None,None,None,None,Insect,1.0.0,6SKoKnXhrf2dk6JZb
air circulator,White,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,White,White,1x1,No,990,Poki,Nook's Cranny,Summer (shopping),No,151,living room,office,None,None,AC,Office,1.0.0,J4inuBziPCSGZNEPM
air circulator,Black,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Black,Gray,1x1,No,990,Poki,Nook's Cranny,Summer (shopping),No,151,living room,office,None,None,AC,Office,1.0.0,E2dZPSD94isFZWd2F
air circulator,Pink,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Pink,Pink,1x1,No,990,Poki,Nook's Cranny,Summer (shopping),No,151,living room,office,None,None,AC,Office,1.0.0,uAY6FFGdXWeAG9gMa
air circulator,Green,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Green,Gray,1x1,No,990,Poki,Nook's Cranny,Summer (shopping),No,151,living room,office,None,None,AC,Office,1.0.0,bGCQ9bA27ftHoLoKb
air circulator,Yellow,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Yellow,Gray,1x1,No,990,Poki,Nook's Cranny,Summer (shopping),No,151,living room,office,None,None,AC,Office,1.0.0,5pBqNZaZWveKR6K5s
aji fry,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,540,Yellow,Brown,1x1,No,NA,NA,Cooking,NA,NA,103,restaurant,None,None,None,Food,DishFood,2.0.0,Ny5vq5NZYAjqz9GGS
aloha-edition carrying case,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,NFS,620,Green,White,1x1,No,60,Nook Points,NookLink,NA,NA,431,child's room,living room,None,None,None,Game Console,1.9.0,Xst6pYcpfnfw3WKx2
aluminum briefcase,Stacks of cash,Contents,NA,NA,No,No,No,NA,NA,None,5200,100000,25000,Gray,Yellow,1x1,No,90000,Poki,Nook's Cranny,NA,NA,251,office,expensive,None,None,None,Museum,1.0.0,7ovsY7XPNCW3YQAJA
aluminum briefcase,Gold bars,Contents,NA,NA,No,No,No,NA,NA,None,5200,100000,25000,Gray,Yellow,1x1,No,90000,Poki,Nook's Cranny,NA,NA,251,office,expensive,None,None,None,Museum,1.0.0,Yympao5irjJgMNW6d
analog kitchen scale,Red,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Red,White,1x1,No,990,Poki,Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Kitchen Things,1.0.0,6WMJcEFXoWt9mmtvE
analog kitchen scale,Yellow,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Yellow,White,1x1,No,990,Poki,Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Kitchen Things,1.0.0,YfYgj2jXPy6sip9Qu
analog kitchen scale,Green,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Green,White,1x1,No,990,Poki,Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Kitchen Things,1.0.0,Spi4XHmdPD2CX7xL4
analog kitchen scale,Blue,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Blue,White,1x1,No,990,Poki,Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Kitchen Things,1.0.0,LgKQD3p9WLzfg3GN4
analog kitchen scale,Pink,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Pink,White,1x1,No,990,Poki,Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Kitchen Things,1.0.0,FJHLtvYAkJLBCyvKZ
analog kitchen scale,Ivory,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Yellow,White,1x1,No,990,Poki,Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Kitchen Things,1.0.0,o8gB7rkjtK8geGeMW
analog kitchen scale,Light blue,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Aqua,White,1x1,No,990,Poki,Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Kitchen Things,1.0.0,Xd3pqsLgpnFeWC46C
analog kitchen scale,Silver,Color,NA,NA,No,No,No,NA,NA,None,1000,1100,275,Gray,White,1x1,No,990,Poki,Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Kitchen Things,1.0.0,2Sw2GvGbFtnz6Ft7g
anchoas al ajillo,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,600,Gray,Colorful,1x1,No,NA,NA,Cooking,NA,NA,103,party,restaurant,None,None,Food,DishFood,2.0.0,byDHcwQaDYkpN9CTB
anchovy model,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,NFS,600,Blue,Black,1x1,No,NA,NA,C.J.,NA,NA,251,None,None,None,None,None,Fish,1.0.0,jqs5hyDDgiozw7D6W
angelfish model,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,NFS,9000,Yellow,Black,1x1,No,NA,NA,C.J.,NA,NA,251,None,None,None,None,None,Fish,1.0.0,c68YashL9kXvfwLp4
ant farm,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,1400,350,Green,Brown,1x1,No,1300,Poki,Nook's Cranny,NA,NA,151,lab,child's room,None,None,None,Special Insect,1.0.0,nuqhnEuJinwzRrp2z
ant model,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,NFS,240,Black,Black,1x1,No,NA,NA,Flick,NA,NA,251,None,None,None,None,None,Insect,1.0.0,pvyXsn72duZvP5csK
anthurium plant,Red,Color,NA,NA,No,No,No,NA,NA,None,1000,990,247,Red,Green,1x1,No,890,Poki,Nook's Cranny,NA,NA,103,living room,None,None,None,Plant,Plants,1.0.0,BfZjDAavNeyem3bFX
anthurium plant,Berry red,Color,NA,NA,No,No,No,NA,NA,None,1000,990,247,Red,Green,1x1,No,890,Poki,Nook's Cranny,NA,NA,103,living room,None,None,None,Plant,Plants,1.0.0,8r8yH5cDR9D94dWE2
anthurium plant,Green,Color,NA,NA,No,No,No,NA,NA,None,1000,990,247,Red,Green,1x1,No,890,Poki,Nook's Cranny,NA,NA,103,living room,None,None,None,Plant,Plants,1.0.0,9WXR8N8LWcLgcbuTq
anthurium plant,Pink,Color,NA,NA,No,No,No,NA,NA,None,1000,990,247,Pink,Green,1x1,No,890,Poki,Nook's Cranny,NA,NA,103,living room,None,None,None,Plant,Plants,1.0.0,eRvZ8pBJ2gMbQXTTC
anthurium plant,White,Color,NA,NA,No,No,No,NA,NA,None,1000,990,247,White,Green,1x1,No,890,Poki,Nook's Cranny,NA,NA,103,living room,None,None,None,Plant,Plants,1.0.0,X5WqEpcbqAunjxS4f
